Muxika,43.28911,-2.68928,Bizkaia
Nabarniz,43.32158,-2.58458,Bizkaia
Natxitua,43.38122,-2.61375,Bizkaia
Navarniz,43.32158,-2.58458,Bizkaia
Olaeta,43.04831,-2.63092,Araba
Oñati,43.03208,-2.4125,Gipuzkoa
Ondarroa,43.32211,-2.42194,Bizkaia
Orbaizeta,42.97519,-1.22989,Nafarroa
Oroz-Betelu,42.89561,-1.30383,Nafarroa
Ortzaize,43.24228,-1.28389,Basque Pyrenees
Otxandio,43.04114,-2.65467,Bizkaia
Pamplona-Iruña,42.81175,-1.65006,Nafarroa
Pedernalles-Sukarrieta,43.39294,-2.69539,Bizkaia
Sangüesa-Zangoza,42.57247,-1.28256,Nafarroa
Santurtzi,43.32978,-3.03269,Bizkaia
Saragüeta,42.92117,-1.39136,Nafarroa
St. Martin- d'Arrossa,43.23803,-1.31267,Basque Pyrenees
Sunbila,43.16569,-1.67156,Nafarroa
Tafalla,42.52714,-1.67686,Nafarroa
Untzilla,43.04106,-2.53933,Araba
Urepel,43.06942,-1.41639,Basque Pyrenees
Zamudio,43.27956,-2.86111,Bizkaia
Zerain,43.0121,-2.27412,Gipuzkoa
Ziortza Bolibar,43.24978,-2.54831,Bizkaia
Zubieta,43.12464,-1.74272,Nafarroa
