Surname,Origin Town Name,Destination Town Name,Destination State
Telleria,Lekeitio,Boise,Idaho
Telleria,Lekeitio,Elko,Nevada
Telleria,Mutiloa,Jordan Valley,Oregon
Telleria,Mutiloa,Homedale,Idaho
Telleria,Mutiloa,Santa Fe,New Mexico
Terlleria,Akorda,Jordan Valley,Oregon
Terlleria,Akorda,McDermitt,Nevada
Tihista,Banka,Glasgow,Montana
Totorica(guena),Garai,Salt Lake City,Utah
Totorica(guena),Gernika,Boise,Idaho
Totorica(guena),Gernika,Grand View,Idaho
Totoricaguena,Gernika,Boise,Idaho
Trevino,Amoroto,Salt Lake City,Utah
Trounday,St. Martin d'Arrossa,Madera,California
Trounday,St. Martin d'Arrossa,Sacramento,California
Trounday,St. Martin d'Arrossa,Seattle,Washington
Uberuaga,Arbatzegi-Munitibar,Boise,Idaho
Uberuaga,Arbatzegi-Munitibar,Marsing,Idaho
Uberuaga,Arbatzegi-Munitibar,Homedale,Idaho
Uberuaga,Munitibar,Silver City,Idaho
Uberuaga,Munitibar,Jordan Valley,Oregon
Uberuaga,Munitibar,Homedale,Idaho
Uberuaga,Munitibar,Santa Fe,New Mexiico
Ugalde,Amorebieta-Etxano(Zornotza),Boise,Idaho
Ugalde,Ea,Battle Mountain,Nevada
Ugarriza,Ea,McDermitt,Nevada
Ulibarri,Ulibarri,Santa Fe,New Mexico
Unamuno,Lekeitio,Boise,Idaho
Unamuno,Lekeitio,LaGrande,Oregon
Unamuno,Lekeitio,Kingston,Washington
Uranga,Mañaria,Homedale,Idaho
Urdaneta,Bermeo,Portland,Oregon
Urdirotz,Pamplona-Iruña,Reno,Nevada
Urdirotz,Pamplona-Iruña,Boise,Idaho
Uria,Eibar,Nampa,Idaho
Uria,Eibar,Homedale,Idaho
Uribe,Mendata,Emmett,Idaho
Uribe,Durango,Ontario,Oregon
Uriguen,Aulesti,Winnemucca,Nevada
Uriguen,Aulesti,Battle Mountain,Nevada
Uriona (Urionabarrenechea),Bilbao,Mountain Home,Idaho
Urionaguena,Arbatzegi-Munitibar,Gardnerville,Nevada
Urizar,Ea,Burns,Oregon
Urquiaga,Arteaga,Arock,Oregon
Urquidi,Aulesti,Salt Lake City,Utah
Urquidi,Aulesti,Grand View,Idaho
Urquidi,Aulesti,Mountain Home,Idaho
Urquilux,Aldudes,Glasgow,Montana
Urquiza,Arteaga,Emmett,Idaho
Urreltz,Urepel,Frazer,Montana
Urresti,Olaeta,Arock,Oregon
Urresti,Ondarroa,Boise,Idaho
Urresti,Ondarroa,Nampa,Idaho
Urreta,Santurtzi,Burns,Oregon
Urriolabeitia,Ermua,Boise,Idaho
Urriolabeitia,Ondarroa,Battle Mountain,Nevada
Urrizaga,Arnegi,Buffalo,Wyoming
Urrizaga,Arnegi,Reno,Nevada
Urruchua,Lemoa,Boise,Idaho
Urrutia,Lintzoain,Reno,Nevada
Urrutia,Alzuza,Boise,Idaho
Urtuzuastegui,Gordexola,San Luis,Arizona
Urtuzuastegui,Gordexola,Maricopa,Arizona
Varas Barasoain,Bera,Battle Mountain,Nevada
Vertiz,Sunbilla,Fruita,Colorado
Villanueva,Bilbao,Emmett,Idaho
Yarza,Beasain,Las Vegas,Nevada
Ybarlucea,Markina-Xemein,Elko,Nevada
Ybarlucea,Markina-Xemein,Clallum Bay,Washington
Ybarzabal,Meñaka,Ontario,Oregon
Ydiando,Bilbao,Golconda,Nevada
Ydiando,Bilbao,Reno,Nevada
Ydiando,Bilbao,Las Vegas,Nevada
Yraguen,Ereño,Vale,Oregon
Yraguen,Ereño,Ontario,Oregon
Yraguen,Natxitua,Vale,Oregon
Yraguen,Natxitua,Portland,Oregon
Yragui,Eugi,Twin Falls,Idaho
Yragui,Eugi,Seattle,Washington
Yrazabal,Arbatzegi-Munitibar,Mountain Home,Idaho
Yriarte,Mutriku,Burns,Oregon
Yribar,Lekeitio,Pocatello,Idaho
Yrigoyen,Ondarroa,Salt Lake City,Utah
Yrigoyen,Isaba,Tampa,Florida
Yrigoyen,Isaba,Seattle,Washington
Yrigoyen,Isaba,Dubuque,Iowa
Yrigoyen,Isaba,Chicago,Illinois
Ysursa,Iurreta,Boise,Idaho
Ytuarte,Ispaster,Shoshone,Idaho
Yturraspe,Lekeitio,Jordan Valley,Oregon
Yturraspe,Elantxobe,Boise,Idaho
Yturri,Errigoiti,Ontario,Oregon
Yturri,Errigoiti,Cascade,Idaho
Zabala,Lekeitio,Emmett,Idaho
Zabala,Lekeitio,Winnemucca,Nevada
Zabala,Arbatzegi-Munitibar,Burns,Oregon
Zabala,Arbatzegi-Munitibar,Boise,Idaho
Zabala,Ispaster,Meridian,Idaho
Zabala,Ispaster,Gooding,Idaho
Zabala,Arbatzegi-Munitibar,Boise,Idaho
Zabala,Amoroto,Moses Lake,Washington
Zabalbeascoa(Saval),Ispaster,Battle Mountain,Nevada
Zabalegui,Lerga,Reno,Nevada
Zatica,Ispaster,Jordan Valley,Oregon
Zatica,Ispaster,McDermitt,Nevada
Zatica,Ea,Boise,Idaho
Zatica,Ispaster,Salt Lake City,Utah
Zatica,Gernika,Salt Lake City,Utah
Zatica,Ispaster,Homedale,Idaho
Zozaya,Aritzu,Richland,Washington
Zubillaga,Oñati,Gardnerville,Nevada
Zubiri,Lintzoain,Burns,Oregon
Zubizareta,Amoroto,Jordan Valley,Oregon
Zubizareta,Amoroto,Boise,Idaho
Zubizarreta,Nabarniz,Emmett,Idaho
Zubizarreta,Nabarniz,Bruneau,Idaho
